                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.6592,                 1.8044,                 1.6349,                0.54764,                0.48812,                0.51079,                0.25274,                 1.7314,                 1.7882,                  1.719,               0.003466,               0.003466,               0.003466
                     69,                 1.6491,                 1.7837,                 1.6335,                0.55435,                0.48424,                 0.5101,                0.25275,                 1.7313,                 1.7878,                 1.7187,               0.003367,               0.003367,               0.003367
                     70,                 1.6525,                 1.7896,                 1.6297,                0.55152,                0.48795,                0.51066,                0.25344,                 1.7308,                 1.7864,                 1.7177,               0.003268,               0.003268,               0.003268
                     71,                 1.6597,                 1.7898,                 1.6297,                0.55175,                0.49126,                0.51178,                0.25378,                  1.731,                 1.7839,                 1.7169,               0.003169,               0.003169,               0.003169
                     72,                 1.6476,                 1.7616,                 1.6225,                0.55077,                0.49287,                0.51225,                0.25386,                 1.7316,                 1.7821,                 1.7172,                0.00307,                0.00307,                0.00307
                     73,                 1.6554,                 1.7637,                 1.6235,                0.54924,                0.49586,                0.51316,                0.25406,                 1.7319,                 1.7803,                 1.7171,               0.002971,               0.002971,               0.002971
                     74,                  1.642,                 1.7418,                 1.6169,                 0.5386,                0.49719,                0.51259,                0.25397,                 1.7321,                 1.7792,                  1.717,               0.002872,               0.002872,               0.002872
                     75,                 1.6388,                 1.7457,                 1.6126,                 0.5381,                0.49899,                0.51379,                0.25392,                 1.7325,                 1.7777,                 1.7167,               0.002773,               0.002773,               0.002773
                     76,                 1.6352,                 1.7338,                 1.6171,                0.54001,                0.49859,                0.51483,                0.25401,                 1.7326,                 1.7761,                 1.7164,               0.002674,               0.002674,               0.002674
                     77,                 1.6372,                 1.7365,                 1.6184,                0.53794,                0.49729,                0.51489,                 0.2543,                 1.7328,                 1.7747,                 1.7163,               0.002575,               0.002575,               0.002575
                     78,                 1.6342,                 1.7278,                 1.6075,                0.54004,                0.49727,                0.51538,                0.25497,                  1.733,                 1.7732,                 1.7162,               0.002476,               0.002476,               0.002476
                     79,                 1.6263,                 1.7187,                 1.6052,                0.54318,                0.49413,                0.51526,                0.25542,                 1.7334,                 1.7716,                 1.7161,               0.002377,               0.002377,               0.002377
                     80,                 1.6144,                 1.7055,                  1.596,                0.54114,                0.49629,                0.51547,                 0.2558,                 1.7338,                   1.77,                  1.716,               0.002278,               0.002278,               0.002278
                     81,                 1.6176,                 1.7046,                 1.6003,                0.54422,                0.49587,                0.51605,                0.25624,                 1.7338,                 1.7691,                 1.7158,               0.002179,               0.002179,               0.002179
                     82,                 1.6149,                  1.709,                 1.5948,                0.54214,                0.49925,                0.51649,                 0.2565,                 1.7338,                  1.768,                 1.7153,                0.00208,                0.00208,                0.00208
                     83,                 1.6097,                 1.6835,                 1.5933,                0.54252,                0.49908,                0.51665,                0.25677,                  1.734,                 1.7674,                 1.7152,               0.001981,               0.001981,               0.001981
                     84,                 1.6105,                 1.6879,                 1.5936,                0.54465,                0.49587,                0.51669,                0.25688,                 1.7342,                 1.7663,                 1.7149,               0.001882,               0.001882,               0.001882
